문항번호,단원,문제유형,문제,선택지1,선택지2,선택지3,선택지4,LeftItems,RightItems,정답,해설,근거파일,근거페이지,핵심요약,문제코드,출제자
1,자료조사분석,4지선다형,프로젝트 제안 요청서(RFP)에 관한 설명으로 옳지 않은 것은?,"프로젝트의 배경, 목적, 일정, 예산 등 기본 정보를 포함한다.",고객 요구사항이 개념적으로 포함될 수 있다.,제안 요청서는 설계자가 작성하는 문서이므로 고객 요구를 최소화한다.,프로젝트의 전체 범위와 수행 내용을 이해하기 위한 기본 자료이다.,,,3,RFP는 고객이 작성하는 문서,자료조사분석,p.3-4,RFP는 고객이 작성하는 문서,RA-SS-001,마스터
2,기본계획,진위형,상업공간에서는 고객 동선과 직원 동선이 겹치도록 계획하는 것이 효율적이다.,,,,,,,X,고객동선과 직원동선 분리,기본계획,p4-5,고객동선과 직원동선 분리,BP-TF-002,마스터
3,기본계획,단답형,버블다이어그램(bubble diagram)이란 무엇이며 목적은?,,,,,,,정의+목적,관계/규모/동선 개략 표현,기본계획,p4-5,관계/규모/동선 개략 표현,BP-SA-003,마스터
4,시공관리,연결형,아래 A~D와 1~4를 올바르게 연결하시오.,,,,,A:직영공사; B:일식도급; C:분할도급; D:실비정산식,1:직접시공; 2:도급식; 3:공정분할; 4:실비정산,A2 B4 C1 D3,직영/일식/분할/실비정산 설명,시공관리,p3-5,직영/일식/분할/실비정산 설명,CM-MT-004,마스터
5,설계도서작성_기획설계,4지선다형,기획설계 단계에 대한 설명으로 적절하지 않은 것은?,기획설계는 프로젝트 취지를 분석한다.,기획설계 결과물에는 모든 상세도면이 포함된다.,사용자 요구를 분석해 개념을 도출한다.,기획설계는 전체 프로세스 첫 단계이다.,,,2,상세도면은 실시단계에서 작성,설계도서작성,p3-4,상세도면은 실시단계에서 작성,XX-SS-005,마스터
6,세부공간계획,진위형,주거공간 조닝은 주생활 행위 기준이며 동선은 이동 흐름이다.,,,,,,,O,주생활 구역 구분/동선 정의,세부공간계획,p4-5,주생활 구역 구분/동선 정의,SP-TF-006,마스터
7,기본계획,4지선다형,상업공간의 특징에 대한 설명으로 옳지 않은 것은?,상업공간은 수익창출 목적이다.,고객 동선을 유도한다.,상업공간은 공공공간의 범주이다.,상품 특성에 따라 분위기가 달라진다.,,,3,상업공간은 공공공간 아님,기본계획,p2-3,상업공간은 공공공간 아님,BP-SS-007,마스터
8,기본계획,단답형,공간 프로그램(space program)이란 무엇인가?,,,,,,,정의+목적,공간별 기능·면적 정리,기본계획,p3-5,공간별 기능·면적 정리,BP-SA-008,마스터
9,시공관리,4지선다형,5M에 해당하지 않는 것은?,Material,Method,Marketing,Machine,,,3,5M은 마케팅 제외,시공관리,p4,5M은 마케팅 제외,CM-SS-009,마스터
10,설계도서작성_기획설계,진위형,기본설계 단계에서는 평면·천장·입면·3D가 확정된다.,,,,,,,O,기본설계는 디자인 확정 단계,설계도서작성,p3-4,기본설계는 디자인 확정 단계,XX-TF-010,마스터
11,세부공간계획,연결형,주거공간의 기능을 A~D와 1~4로 연결하시오.,,,,,A:공동공간; B:개인공간; C:작업공간; D:위생공간,1:취침·학습; 2:세면·배설; 3:가족단란; 4:가사작업,A3 B1 C4 D2,공동/개인/작업/위생 기능,세부공간계획,p3-4,공동/개인/작업/위생 기능,SP-MT-011,마스터
12,프레젠테이션,4지선다형,프레젠테이션 설명 중 적절하지 않은 것은?,설계자의 의도 전달,프레젠테이션은 보통 1회만 한다.,여러 표현 도구 활용,목적에 따라 종류가 나뉜다.,,,2,프레젠테이션은 3~4회 진행,프레젠테이션,p3-5,프레젠테이션은 3~4회 진행,PR-SS-012,마스터
13,시공관리,진위형,시공관리의 핵심 목표는 품질·공정·원가·안전이다.,,,,,,,O,4대관리 목표,시공관리,p4,4대관리 목표,CM-TF-013,마스터
14,기본계획,4지선다형,조닝·동선 설명 중 적절하지 않은 것은?,조닝은 기능별 구획이다.,동선은 이동 흐름이다.,조닝은 평면계획 이전에 사용.,동선계획은 조명 배치 중심이다.,,,4,조명은 동선계획 우선 요소 아님,기본계획,p3-4,조명은 동선계획 우선 요소 아님,BP-SS-014,마스터
15,설계도서작성_기획설계,단답형,기획설계 단계의 목적과 도출물은?,,,,,,,정의+도출물,개념/방향/평면 개념,설계도서작성,p3-4,개념/방향/평면 개념,XX-SA-015,마스터
101,세부공간계획,복수선택형,다음 중 주거공간 계획 시 ‘프라이버시 확보’를 위한 적절한 계획 요소를 모두 고르시오.,출입구에서 사적 공간이 바로 보이지 않도록 계획,가족공간을 주출입구와 가까운 곳에 배치,개인공간을 공용공간과 완전히 분리된 영역으로 구성,위생공간을 공용공간 중심부에 배치,,,"1,3","프라이버시는 개인공간 보호가 핵심. 1) 시야차단, 3) 영역분리 필요.",세부공간계획,p4-5,프라이버시는 개인공간 보호가 핵심,SP-MS-101,마스터
102,기본계획,복수선택형,상업공간의 ‘매출 증진’을 위한 계획 요소로 적절한 것을 모두 고르시오.,고객의 동선을 길고 복잡하게 설계,시선 유도와 상품 노출이 용이한 동선 형성,체류 시간을 늘릴 수 있는 휴식·관람 포인트 제공,직원 동선을 고객과 완전히 동일하게 구성,,,"2,3",매출 증진은 시선·동선 유도와 체류시간 증가가 핵심.,기본계획,p2-3,매출 증진은 시선·동선 유도와 체류시간 증가가 핵심,BP-MS-102,마스터
